Years,Months,Age (months),Grade,Driver License,Leave Campus for Lunch,Perception About Lunches,Predicted,Residual,,,,,,,,,,,,,Min,Q1,Med,Q3,Max,IQR,Mean,SD,Range
16,0,192,10,0,4,9,1.6306,2.3694,,,,,,,,,,,,Driver License,0,0,6,16.5,29,16.5,8.54368932,9.404605358,29
15,11,191,10,0,0,8,1.6306,-1.6306,,,,,,,,,,,,Leave Campus for Lunch,0,0,3,5,5,5,2.524271845,2.042896157,5
16,1,193,10,0,0,9,1.6306,-1.6306,,,,,,,,,,,,,,,,,,,,,
15,8,188,10,0,1,8,1.6306,-0.6306,,,,,,,,,,,,,,,,,,,,,
16,1,193,10,0,0,8,1.6306,-1.6306,,,,,,,,,,,,,,,,,,,,,
15,10,190,10,7,0,9,2.3628,-2.3628,,,,,,,,,,,,,,,,,,,,,
15,3,183,10,0,3,9,1.6306,1.3694,,,,,,,,,,,,,,,,,,,,,
15,10,190,10,0,1,10,1.6306,-0.6306,,,,,,,,,,,,,,,,,,,,,
16,2,194,10,0,0,4,1.6306,-1.6306,,,,,,,,,,,,,,,,,,,,,
15,6,186,10,0,2,10,1.6306,0.3694,,,,,,,,,,,,,,,,,,,,,
16,1,193,10,0,3,10,1.6306,1.3694,,,,,,,,,,,,,,,,,,,,,
15,5,185,10,0,0,7,1.6306,-1.6306,,,,,,,,,,,,,,,,,,,,,
15,4,184,10,0,0,8,1.6306,-1.6306,,,,,,,,,,,,,,,,,,,,,
15,8,188,10,0,2,7,1.6306,0.3694,,,,,,,,,,,,,,,,,,,,,
17,2,206,12,14,5,10,3.095,1.905,,,,,,,,,,,,,,,,,,,,,
17,1,205,11,11,3,1,2.7812,0.2188,,,,,,,,,,,,,,,,,,,,,
17,4,208,11,15,5,7,3.1996,1.8004,,,,,,,,,,,,,,,,,,,,,
16,9,201,11,6,5,5,2.2582,2.7418,,,,,,,,,,,,,,,,,,,,,
16,9,201,11,8,3,3,2.4674,0.5326,,Well the equation that I get from calculator is different from what excel says... I'm not really sure what to do I probably just entered my data wrong,,,,,,,,,,,,,,,,,,,
17,2,206,11,14,4,3,3.095,0.905,,,,,,,,,,,,,,,,,,,,,
16,9,201,11,9,1,10,2.572,-1.572,,"excel: y = 0.1046x + 1.6306, R² = 0.2319, r=.4816
",,,,,,,,,,,,,,,,,,,
17,9,213,12,21,5,5,3.8272,1.1728,,also i'm really not really convinced that there's 103 points on that graph,,,,,,,,,,,,,,,,,,,
17,10,214,12,16,1,2,3.3042,-2.3042,,"oh that's because some of the points are the same, so they will be on each other",,,,,,,,,,,,,,,,,,,
17,11,215,12,15,1,10,3.1996,-2.1996,,just go with excel i guess,,,,,,,,,,,,,,,,,,,
17,8,212,12,18,5,1,3.5134,1.4866,,,,,,,,,,,,,,,,,,,,,
17,4,208,12,11,1,3,2.7812,-1.7812,,,,,,,,,,,,,,,,,,,,,
17,11,215,12,22,5,4,3.9318,1.0682,,,,,,,,,,,,,,,,,,,,,
18,2,218,12,26,1,10,4.3502,-3.3502,,,,,,,,,,,,,,,,,,,,,
17,5,209,12,27,0,10,4.4548,-4.4548,,,,,,,,,,,,,,,,,,,,,
17,1,205,12,0,3,6,1.6306,1.3694,,,,,,,,,,,,,,,,,,,,,
18,2,218,12,27,5,4,4.4548,0.5452,,,,,,,,,,,,,,,,,,,,,
17,8,212,12,18,5,8,3.5134,1.4866,,,,,,,,,,,,,,,,,,,,,
17,5,209,12,0,2,1,1.6306,0.3694,,,,,,,,,,,,,,,,,,,,,
17,4,208,12,0,3,10,1.6306,1.3694,,,,,,,,,,,,,,,,,,,,,
17,9,213,12,15,0,10,3.1996,-3.1996,,,,,,,,,,,,,,,,,,,,,
18,3,219,12,12,3,5,2.8858,0.1142,,,,,,,,,,,,Oh nice,,,,,,,,,
18,2,218,12,24,5,10,4.141,0.859,,,,,,,,,,,,,,,,,,,,,
17,19,223,12,21,5,5,3.8272,1.1728,,,,,,,,,,,,,,,,,,,,,
18,1,217,12,20,5,4,3.7226,1.2774,,,,,,,,,,,,,,,,,,,,,
17,6,210,12,18,5,1,3.5134,1.4866,,,,,,,,,,,,,,,,,,,,,
17,7,211,12,19,5,1,3.618,1.382,,,,,,,,,,,,,,,,,,,,,
18,2,218,12,26,5,7,4.3502,0.6498,,,,,,,,,,,,,,,,,,,,,
16,9,201,11,9,5,8,2.572,2.428,,,,,,,,,,,,,,,,,,,,,
17,2,206,11,8,1,6,2.4674,-1.4674,,,,,,,,,,,,,,,,,,,,,
16,10,202,11,10,1,3,2.6766,-1.6766,,,,,,,,,,,,,,,,,,,,,
16,11,203,11,0,0,7,1.6306,-1.6306,,,,,,,,,,,,,,,,,,,,,
16,3,195,11,0,3,10,1.6306,1.3694,,,,,,,,,,,,,,,,,,,,,
16,7,199,11,6,2,7,2.2582,-0.2582,,,,,,,,,,,,,,,,,,,,,
16,9,201,11,0,0,3,1.6306,-1.6306,,,,,,,,,,,,,,,,,,,,,
16,6,198,11,0,2,4,1.6306,0.3694,,,,,,,,,,,,,,,,,,,,,
16,6,198,11,0,1,1,1.6306,-0.6306,,,,,,,,,,,,,,,,,,,,,
16,7,199,11,0,0,10,1.6306,-1.6306,,,,,,,,,,,,,,,,,,,,,
16,2,194,11,1,1,7,1.7352,-0.7352,,,,,,,,,,,,,,,,,,,,,
16,8,200,11,8,5,4,2.4674,2.5326,,,,,,,,,,,,,,,,,,,,,
17,4,208,11,15,5,10,3.1996,1.8004,,,,,,,,,,,,,,,,,,,,,
17,9,213,12,18,5,1,3.5134,1.4866,,,,,,,,,,,,,,,,,,,,,
17,4,208,12,16,5,10,3.3042,1.6958,,So you might want to check this since the box and whisker plot I got for the lunch variable looks like this,,,,,,,,,,,,,,,,,,,
17,8,212,12,18,5,5,3.5134,1.4866,,,,,,,,,,,,,,,,,,,,,
18,5,221,12,29,3,10,4.664,-1.664,,,,,,,,,,,,,,,,,,,,,
18,2,218,12,23,5,10,4.0364,0.9636,,,,,,,,,,,,,,,,,,,,,
17,11,215,12,1,5,10,1.7352,3.2648,,,,,,,,,,,,,,,,,,,,,
16,9,201,11,7,0,7,2.3628,-2.3628,,,,,,,,,,,,,,,,,,,,,
17,4,208,12,16,5,10,3.3042,1.6958,,,,,,,,,,,,,,,,,,,,,
17,6,210,12,18,5,8,3.5134,1.4866,,,,,,,,,,,,,,,,,,,,,
18,1,217,12,25,5,9,4.2456,0.7544,,,,,,,,,,,,,,,,,,,,,
17,6,210,12,17,5,4,3.4088,1.5912,,,,,,,,,,,,,,,,,,,,,
18,1,217,12,11,5,10,2.7812,2.2188,,,,,,,,,,,,,,,,,,,,,
17,9,213,12,18,0,5,3.5134,-3.5134,,,,,,,,,,,,,,,,,,,,,
17,9,213,12,21,5,10,3.8272,1.1728,,,,,,,,,,,,,,,,,,,,,
18,3,219,12,27,1,2,4.4548,-3.4548,,,,,,,,,,,,,,,,,,,,,
18,5,221,12,0,0,5,1.6306,-1.6306,,,,,,,,,,,,,,,,,,,,,
18,2,218,12,24,3,10,4.141,-1.141,,,,,,,,,,,,,,,,,,,,,
18,3,219,12,0,0,10,1.6306,-1.6306,,,,,,,,,,,,,,,,,,,,,
17,7,211,12,19,5,4,3.618,1.382,,,,,,,,,,,,,,,,,,,,,
17,4,208,12,12,5,10,2.8858,2.1142,,,,,,,,,,,,,,,,,,,,,
18,2,218,12,26,5,10,4.3502,0.6498,,,,,,,,,,,,,,,,,,,,,
17,8,212,12,13,0,9,2.9904,-2.9904,,,,,,,,,,,,,,,,,,,,,
17,12,216,12,0,2,1,1.6306,0.3694,,,,,,,,,,,,,,,,,,,,,
17,10,214,12,3,0,10,1.9444,-1.9444,,,,,,,,,,,,,,,,,,,,,
17,10,214,12,0,3,9,1.6306,1.3694,,,,,,,,,,,,,,,,,,,,,
18,3,219,12,12,0,9,2.8858,-2.8858,,,,,,,,,,,,,,,,,,,,,
15,4,184,10,0,0,10,1.6306,-1.6306,,,,,,,,,,,,,,,,,,,,,
16,4,196,10,4,0,5,2.049,-2.049,,,,,,,,,,,,,,,,,,,,,
16,2,194,10,0,1,10,1.6306,-0.6306,,,,,,,,,,,,,,,,,,,,,
